Study,Design,Follow-up (months),Age (years),Female (%),Race,Treatment Participants (n),Control Participants (n),Comorbidities,Intervention,Statin Intensity,Control,Baseline LDL-C (mg/dL),LDL-C Reduction (%),Side Effects,Baseline eGFR Statin Mean,Baseline eGFR Statin SD,Baseline eGFR Control Mean,Baseline eGFR Control SD,Baseline Protein Statin Mean,Baseline Protein Statin SD,Baseline Protein Control Mean,Baseline Protein Control SD,Mean Difference Random,95% CI Lower,95% CI Upper,Outcome
Yasuda 2004,"Prospective, open-label RCT",12,57,53.8,Japanese (100%),39,41,DM (100%),Fluvastatin 20 mg + diet,Low,Dietary,170.1,,None,59,31.2,60,25.6,0.8,1.2,0.7,0.6,-2,-3.23,-0.77,total change in eGFR
Tonelli 2003,Randomized double-blind placebo-controlled trial,36,63,24,White (97.7%),345,345,"CHD (100%), DM (15.4%)",Pravastatin 40 mg,Moderate,Placebo,139.5,,None,53.2,6,52.5,6.5,,,,,0.1,-0.19,0.39,rate of eGFR change per year
Tonelli 2005,Randomized double-blind controlled trial,60,63,23.6,Black (0.5%),1702,1700,"Hypercholesterolemia (100%), CHD (100%), DM (10.6%)",Pravastatin 40 mg,Moderate,Placebo,154,,Non-dermatologic malignancy,52.7,6.1,52.7,5.9,,,,,0.22,0.07,0.37,rate of eGFR change per year
Bianchi 2003,"Prospective, controlled open-label RCT",12,55.6,32.1,N/A,28,28,HTN (48.2%),Atorvastatin 40 mg,High,No atorvastatin,203,,N/A,50.8,9.5,50,10.1,2.2,0.5,2.1,0.5,4.6,4.17,5.03,total change in eGFR
Kendrick 2009,Randomized double-blind placebo-controlled trial,64,62,21.3,African-American (1.3%),145,159,"HTN (35.2%), DM (1.6%)",Lovastatin 40 mg,Moderate,Placebo,151,,None,53,6,53,6,,,,,0.1,0.08,0.12,rate of eGFR change per year
Rahman 2008,Prospective randomized clinical trial,58,70.7,54.4,Mixed,779,778,"HTN (100%), DM (30.8%)",Pravastatin 40 mg,Moderate,Usual care,146.5,,None,50.8,8.2,50.6,8.4,,,,,0.28,-0.14,0.7,rate of eGFR change per year
Rahman 2008,Prospective randomized clinical trial,58,70.7,54.4,Mixed,779,778,"HTN (100%), DM (30.8%)",Pravastatin 40 mg,Moderate,Usual care,146.5,,None,50.8,8.2,50.6,8.4,,,,,0.9,-0.47,2.27,total change in eGFR
Koren 2009,"Prospective, open-label RCT",54,65.2,23.1,"White (88.1%), African-American (8.5%)",286,293,"CHD (100%), DM (28%)",Atorvastatin 80 mg,High,Usual care,148,,N/A,51.3,7.8,51.1,8.5,,,,,2.11,1.77,2.45,total change in eGFR
Sawara 2008,"Prospective, open-label RCT",12,67,47.4,Japanese (100%),22,16,CHD (34.2%),Rosuvastatin 2.5 mg,Moderate,No lipid-lowering drugs,130.3,,N/A,50.7,18.7,57.3,16.2,0.17,0.29,0.12,0.3,4.8,-0.53,10.13,total change in eGFR
Natsuaki 2012a,Prospective cohort,31,71.4,20.8,Japanese (100%),2135,2432,"CHD (100%), HTN (92.6%), DM (54.4%)",Statins,N/A,No statin,119,,N/A,49.1,7.7,48.5,8,,,,,,,,
Natsuaki 2012b,Prospective cohort,31,72,39.8,Japanese (100%),229,379,"CHD (100%), HTN (92.6%), DM (54.4%)",Statins,N/A,No statin,114,,N/A,22,6.2,20.8,6.7,,,,,,,,
Haynes 2014,Randomized placebo-controlled trial,48,63,37.8,Mixed,3116,3129,DM (22.8%),Simvastatin 20 mg + ezetimibe 10 mg,Moderate,Placebo,111,,N/A,26.6,12.9,26.6,13.1,,,,,0.17,-0.02,0.36,rate of eGFR change per year
